question,option1,option2,option3,option4,correct_answer,marks,explanation
Which layer of the OSI model is responsible for end-to-end communication and error recovery?,Network Layer,Transport Layer,Session Layer,Data Link Layer,Transport Layer,1,The Transport Layer (Layer 4) provides end-to-end communication and error recovery between hosts using protocols like TCP and UDP.
What does the acronym TCP stand for?,Transfer Control Protocol,Transmission Control Protocol,Transparent Communication Protocol,Terminal Control Protocol,Transmission Control Protocol,1,TCP stands for Transmission Control Protocol. It is a connection-oriented protocol that ensures reliable and ordered delivery of data.
Which protocol is used to assign IP addresses dynamically to devices on a network?,DNS,FTP,DHCP,ARP,DHCP,1,DHCP (Dynamic Host Configuration Protocol) automatically assigns IP addresses and other network configuration parameters to devices on a network.
What is the maximum length of an IPv4 address in bits?,16,32,64,128,32,1,An IPv4 address is 32 bits long and is typically expressed as four decimal octets separated by dots (e.g. 192.168.1.1).
Which protocol operates at the Application layer and is used for resolving domain names to IP addresses?,HTTP,DNS,ICMP,SMTP,DNS,1,DNS (Domain Name System) operates at the Application layer and translates human-readable domain names (e.g. www.example.com) into IP addresses.
In TCP's three-way handshake what is the correct sequence of messages?,SYN - ACK - SYN,ACK - SYN - ACK,SYN - SYN/ACK - ACK,FIN - ACK - FIN,SYN - SYN/ACK - ACK,1,TCP establishes a connection using a three-way handshake: the client sends SYN the server responds with SYN/ACK and the client replies with ACK.
Which of the following is a connectionless protocol?,TCP,FTP,UDP,HTTP,UDP,1,UDP (User Datagram Protocol) is connectionless — it sends datagrams without establishing a connection and does not guarantee delivery or ordering.
What is the range of well-known port numbers?,0–255,0–1023,1024–49151,49152–65535,0–1023,1,Well-known ports range from 0 to 1023. They are assigned by IANA to commonly used protocols such as HTTP (80) FTP (21) and HTTPS (443).
Which device operates at the Network layer and forwards packets based on IP addresses?,Hub,Switch,Router,Repeater,Router,1,A router operates at Layer 3 (Network layer) and uses IP addresses to determine the best path for forwarding packets between networks.
What does ARP stand for and what is its function?,Address Resolution Protocol — maps IP to MAC,Application Routing Protocol — routes application data,Address Routing Protocol — assigns IP addresses,Automated Relay Protocol — relays packets,Address Resolution Protocol — maps IP to MAC,1,ARP (Address Resolution Protocol) maps a known IP address to a MAC address within a local network so that data frames can be delivered to the correct device.
